Wall time,Step,Value
1769000495.1396286,43,770.0
1769000498.6795936,46,788.0
1769000530.3554795,72,702.0
1769000557.718982,95,759.0
1769000649.8578446,159,757.0
1769000660.211235,168,632.0
1769000753.124106,230,701.0
1769000759.2099514,235,758.0
1769000784.6899836,256,698.0
1769000806.253501,274,738.0
1769000864.1014988,309,818.0
1769000866.5526397,311,705.0
1769000874.6654003,319,801.0
1769001008.7406363,422,750.0
1769001058.3497698,461,765.0
1769001076.666287,475,746.0
1769001177.9763987,537,778.0
1769001214.481215,564,770.0
1769001235.894012,580,790.0
1769001245.4403458,587,800.0
1769001328.5956085,635,796.0
1769001346.2541928,648,768.0
1769001365.6708171,662,744.0
1769001379.601176,672,784.0
1769001454.9482915,715,780.0
1769001465.7659109,723,786.0
1769001532.180458,772,771.0
1769001551.3070798,786,805.0
1769001553.9850614,788,791.0
1769001592.8854437,803,769.0
1769001601.5850194,809,811.0
1769001640.527069,837,782.0
1769001808.7715936,946,750.0
1769001844.699368,972,750.0
1769001846.1055632,973,734.0
1769001853.8287406,979,774.0
1769001907.9469328,1006,754.0
1769001920.440411,1015,718.0
1769001984.99631,1064,778.0
1769001989.6998315,1067,766.0
1769002026.8128016,1094,772.0
1769002064.031431,1105,792.0
1769002155.1251893,1162,754.0
1769002188.0678935,1181,780.0
1769002358.2147965,1262,655.0
1769002483.3691752,1317,669.0
1769002489.123664,1320,683.0
1769002515.5215347,1334,649.0
1769002523.0900264,1338,679.0
1769002613.3924348,1386,637.0
1769002627.0739813,1393,618.0
1769002693.2558208,1415,660.0
1769002718.480365,1427,621.0
1769002739.5584192,1437,599.0
1769002801.8359725,1467,558.0
1769002852.3176117,1492,485.0
1769002933.299086,1524,511.0
1769002991.2712297,1553,322.0
1769003022.5063488,1569,384.0
1769003053.1593928,1585,315.0
1769003107.3960006,1606,317.0
1769003170.6825767,1641,419.0
1769003269.471089,1692,395.0
1769003321.8853402,1710,263.0
1769003338.608832,1719,257.0
1769003363.2722116,1733,292.0
1769003366.8963861,1735,164.0
1769003372.480228,1738,170.0
1769003451.6126149,1782,148.0
1769003584.182022,1845,213.0
1769003599.6875272,1854,158.0
1769003622.8670955,1867,123.0
1769003628.2297213,1870,194.0
1769003642.7407584,1878,133.0
1769003732.1536872,1918,149.0
1769003762.1536667,1935,129.0
1769003784.9389908,1948,80.0
1769003901.636406,2002,148.0
1769003965.2659721,2037,104.0
1769004039.4098668,2078,77.0
1769004073.144313,2097,135.0
1769004259.3908339,2188,259.0
1769004299.1135898,2200,88.0
1769004320.9211981,2212,53.0
1769004356.489496,2232,166.0
1769004365.687356,2237,42.0
1769004367.4440577,2238,226.0
1769004402.6950455,2258,99.0
1769004410.575011,2263,131.0
1769004505.0479138,2308,109.0
1769004526.4283926,2320,82.0
1769004590.7804878,2355,154.0
1769004654.082386,2390,83.0
1769004655.7985964,2391,36.0
1769004659.2763793,2393,84.0
1769004759.58891,2437,107.0
1769004792.0339622,2454,120.0
1769004795.5364833,2456,101.0
1769004804.389922,2461,70.0
1769004849.9355743,2486,157.0
1769004851.7463415,2487,108.0
1769004869.6938748,2497,22.0
1769004873.1363626,2499,73.0
1769004902.2328246,2504,127.0
1769004955.3010707,2533,74.0
1769004983.1495736,2548,106.0
1769004994.3021488,2554,100.0
1769005257.2148783,2686,60.0
1769005377.0063398,2741,104.0
1769005401.5053873,2755,28.0
1769005461.9219797,2790,88.0
1769005665.50527,2897,165.0
1769005808.8028674,2968,80.0
1769005899.1465118,3012,145.0
1769005946.8247504,3039,101.0
1769005952.1882398,3042,122.0
1769006073.7581377,3100,58.0
1769006183.2447982,3162,43.0
1769006247.2166336,3197,129.0
1769006325.690447,3231,58.0
1769006349.9804084,3245,88.0
1769006353.2901852,3247,195.0
1769006354.9462996,3248,56.0
1769006475.8289564,3306,115.0
1769006600.1681354,3377,61.0
1769006674.8029764,3409,85.0
1769006744.6310897,3450,118.0
1769006802.5579796,3481,117.0
1769007054.8726745,3601,101.0
1769007087.0177243,3619,81.0
1769007090.7698197,3621,87.0
1769007174.3661766,3671,108.0
1769007286.7151146,3727,88.0
1769007313.1254258,3742,66.0
1769007403.201001,3794,114.0
1769007459.7667263,3815,114.0
1769007468.5448947,3820,31.0
1769007472.0926967,3822,122.0
1769007546.3892908,3865,103.0
1769007674.8866315,3929,58.0
1769007723.0791717,3957,52.0
1769007772.3787453,3985,35.0
1769007882.2333937,4037,82.0
1769007991.8532894,4099,122.0
1769008030.4486375,4110,181.0
1769008156.1393857,4183,174.0
1769008180.7343373,4197,86.0
1769008210.90174,4203,78.0
1769008254.862259,4228,86.0
1769008263.3083718,4233,28.0
1769008315.4184227,4264,55.0
1769008407.1619873,4305,96.0
1769008428.7269876,4318,46.0
1769008431.3809845,4320,65.0
1769008587.8316386,4401,85.0
1769008747.431767,4493,64.0
1769008795.5060208,4510,156.0
1769008831.3665066,4531,71.0
1769009021.6053538,4629,69.0
1769009084.8374891,4665,119.0
1769009091.6762075,4669,112.0
1769009105.6327813,4677,37.0
1769009256.7221124,4751,102.0
1769009321.8617146,4789,82.0
1769009360.6946383,4801,191.0
1769009363.898001,4803,43.0
1769009429.1934786,4841,102.0
1769009451.5801382,4853,169.0
1769009525.1356199,4895,101.0
1769009656.1995523,4963,66.0
1769009671.6009493,4972,72.0
1769009676.5851424,4975,42.0
1769009822.3774045,5051,85.0
1769009825.6526093,5053,46.0
1769009930.7493277,5107,74.0
1769009980.2964654,5135,66.0
1769010113.0950623,5201,61.0
1769010180.8064337,5240,40.0
1769010356.684741,5330,34.0
1769010384.349403,5346,100.0
1769010408.3702543,5360,28.0
1769010532.4584866,5421,46.0
1769010570.1352756,5443,28.0
1769010714.9627354,5516,105.0
1769010718.167891,5518,139.0
1769010773.796306,5550,46.0
1769010839.0257466,5588,64.0
1769010984.9027138,5661,75.0
1769010992.138505,5665,73.0
1769011018.804408,5680,55.0
1769011106.460289,5721,78.0
1769011111.6098335,5724,156.0
1769011251.5296094,5809,66.0
1769011273.5816002,5826,99.0
1769011277.4555767,5829,166.0
1769011320.1303618,5863,91.0
1769011322.6159725,5865,31.0
1769011331.3356254,5872,114.0
1769011395.9494126,5908,113.0
1769011421.987861,5929,47.0
1769011450.8649478,5953,85.0
1769011464.5434527,5964,19.0
1769011498.032453,5991,57.0
1769011540.6322575,6011,73.0
1769011546.725028,6016,39.0
1769011700.417069,6122,74.0
1769011712.800816,6132,29.0
1769011776.4946153,6182,90.0
1769011819.7518935,6201,52.0
1769011836.1223269,6214,62.0
1769011843.7335262,6220,79.0
1769011860.7816336,6233,93.0
1769011933.1248243,6290,64.0
1769011979.0077448,6313,82.0
1769011984.9943871,6318,93.0
1769012013.8084853,6342,114.0
1769012041.3754504,6364,58.0
1769012057.778613,6377,51.0
1769012106.1105216,6401,45.0
1769012226.9448855,6497,113.0
1769012272.746708,6521,48.0
1769012339.0390189,6575,90.0
1769012351.4956474,6585,67.0
1769012392.615363,6604,81.0
1769012460.1811578,6658,84.0
1769012507.5466287,6697,40.0
1769012527.649259,6700,70.0
1769012542.2324874,6712,57.0
1769012576.1110075,6739,27.0
1769012581.169251,6743,38.0
1769012726.965291,6847,85.0
1769012736.9401262,6855,105.0
1769012755.4587746,6870,42.0
1769012896.5645924,6967,63.0
1769012929.4968765,6993,80.0
1769012975.9921126,7015,43.0
1769013109.832167,7107,31.0
1769013119.8530037,7115,72.0
1769013172.205604,7156,123.0
1769013268.8235683,7217,139.0
1769013307.3746488,7248,76.0
1769013405.7297246,7312,133.0
1769013427.8624356,7330,26.0
1769013440.5157242,7340,64.0
1769013441.9432805,7341,46.0
1769013465.5092695,7360,78.0
1769013493.9978101,7383,50.0
1769013535.3876414,7402,43.0
