Wall time,Step,Value
1769000495.1396286,43,-7064.6279296875
1769000498.6795936,46,-8328.69140625
1769000530.3554795,72,-6150.24755859375
1769000557.718982,95,-8202.7177734375
1769000649.8578446,159,-6892.38916015625
1769000660.211235,168,-5574.43994140625
1769000753.124106,230,-2274.99658203125
1769000759.2099514,235,-7225.52197265625
1769000784.6899836,256,-5923.11474609375
1769000806.253501,274,-6449.21435546875
1769000864.1014988,309,-8745.5888671875
1769000866.5526397,311,-5782.5654296875
1769000874.6654003,319,-8307.291015625
1769001008.7396367,422,-8110.51611328125
1769001058.3497698,461,-911.6223754882812
1769001076.6652863,475,-4353.51220703125
1769001177.9763987,537,-5662.30322265625
1769001214.4802155,564,-4116.88623046875
1769001235.894012,580,-3912.07080078125
1769001245.4403458,587,-1108.185546875
1769001328.5956085,635,-4796.20068359375
1769001346.253193,648,-2403.159423828125
1769001365.6708171,662,-2200.806884765625
1769001379.601176,672,-4133.80078125
1769001454.9482915,715,-3505.57666015625
1769001465.7659109,723,-3534.194580078125
1769001532.1794596,772,-3334.072509765625
1769001551.3070798,786,-5876.00341796875
1769001553.9850614,788,-3808.914306640625
1769001592.8854437,803,-3129.036865234375
1769001601.5850194,809,-3642.767333984375
1769001640.527069,837,-3202.97021484375
1769001808.770593,946,-1943.487060546875
1769001844.6983664,972,-1430.9990234375
1769001846.104563,973,-3347.9423828125
1769001853.8287406,979,-4625.419921875
1769001907.9468932,1006,-1328.4437255859375
1769001920.440411,1015,-2572.1142578125
1769001984.99631,1064,-2500.617431640625
1769001989.6998315,1067,-929.0895385742188
1769002026.8128016,1094,1.8188594579696655
1769002064.0309124,1105,-902.3357543945312
1769002155.1251893,1162,-978.0230102539062
1769002188.0678935,1181,450.9602355957031
1769002358.2147965,1262,1384.84912109375
1769002483.3691752,1317,2411.537841796875
1769002489.123664,1320,2783.986328125
1769002515.5215347,1334,3262.621826171875
1769002523.0900264,1338,2938.903564453125
1769002613.3924348,1386,3365.2978515625
1769002627.0739813,1393,2719.1767578125
1769002693.2558208,1415,2611.917724609375
1769002718.480365,1427,3423.6044921875
1769002739.5584192,1437,4225.52294921875
1769002801.8359725,1467,4019.60302734375
1769002852.3176117,1492,4398.7314453125
1769002933.299086,1524,5292.99951171875
1769002991.2712297,1553,6576.2158203125
1769003022.5063488,1569,5168.29443359375
1769003053.1593928,1585,7616.7265625
1769003107.3960006,1606,5825.203125
1769003170.6820498,1641,6571.7060546875
1769003269.471089,1692,6449.875
1769003321.8843412,1710,8785.365234375
1769003338.608832,1719,8900.6982421875
1769003363.2712123,1733,8880.8115234375
1769003366.8963861,1735,10782.2431640625
1769003372.480228,1738,9810.9189453125
1769003451.6126149,1782,10631.62109375
1769003584.182022,1845,9723.318359375
1769003599.6875272,1854,11300.255859375
1769003622.8670955,1867,11493.1083984375
