Wall time,Step,Value
1769000495.1396286,43,1019250816.0
1769000498.6795936,46,976957184.0
1769000530.3554795,72,2305272832.0
1769000557.718982,95,1613001344.0
1769000649.8578446,159,1697554432.0
1769000660.211235,168,1421141504.0
1769000753.124106,230,2482758144.0
1769000759.2099514,235,1218780288.0
1769000784.6899836,256,1688804736.0
1769000806.253501,274,1693992576.0
1769000864.1014988,309,1129407488.0
1769000866.5526397,311,1588802176.0
1769000874.6654003,319,1518176256.0
1769001008.7396367,422,1083677440.0
1769001058.3497698,461,2553328640.0
1769001076.666287,475,2051327616.0
1769001177.9763987,537,2293278976.0
1769001214.481215,564,1965496320.0
1769001235.894012,580,1490845568.0
1769001245.4403458,587,2363134720.0
1769001328.5956085,635,1937773312.0
1769001346.2541928,648,2700795392.0
1769001365.6708171,662,2510216448.0
1769001379.601176,672,1915405568.0
1769001454.9482915,715,2116285184.0
1769001465.7659109,723,1975809408.0
1769001532.180458,772,2048255488.0
1769001551.3070798,786,2288942336.0
1769001553.9850614,788,2101009920.0
1769001592.8854437,803,2214202880.0
1769001601.5850194,809,1789508096.0
1769001640.527069,837,2104769792.0
1769001808.7715936,946,2580038144.0
1769001844.6983664,972,2601153792.0
1769001846.1055632,973,1946727040.0
1769001853.8287406,979,1619218560.0
1769001907.9469328,1006,2367720448.0
1769001920.440411,1015,2037510784.0
1769001984.99631,1064,1380366208.0
1769001989.6998315,1067,2096400896.0
1769002026.8128016,1094,2156861952.0
1769002064.0309124,1105,2653486592.0
1769002155.1251893,1162,1989590912.0
1769002188.0678935,1181,2244648960.0
1769002358.2147965,1262,2669217024.0
1769002483.3691752,1317,2222245120.0
1769002489.123664,1320,2250209280.0
1769002515.5215347,1334,2628232704.0
1769002523.0900264,1338,2288986112.0
1769002613.3924348,1386,2253880832.0
1769002627.0739813,1393,2524383232.0
1769002693.2558208,1415,2250892800.0
1769002718.480365,1427,2523047936.0
1769002739.5584192,1437,2549402368.0
1769002801.8359725,1467,2503175168.0
1769002852.3176117,1492,2529149184.0
1769002933.299086,1524,2921772544.0
1769002991.2712297,1553,3510754304.0
1769003022.5063488,1569,3032652032.0
1769003053.1593928,1585,3238573312.0
1769003107.3960006,1606,3529456896.0
1769003170.6820498,1641,3059399424.0
1769003269.471089,1692,3235592704.0
1769003321.8853402,1710,3419384320.0
1769003338.608832,1719,2925914112.0
1769003363.2722116,1733,3548337920.0
1769003366.8963861,1735,3428440832.0
1769003372.480228,1738,3675324672.0
1769003451.6126149,1782,4348380160.0
1769003584.182022,1845,3446514944.0
1769003599.6875272,1854,3985069568.0
1769003622.8670955,1867,4203689728.0
1769003628.2297213,1870,3376288768.0
1769003642.7407584,1878,3787929088.0
1769003732.1536872,1918,3969312768.0
1769003762.1536667,1935,3907342592.0
1769003784.9389908,1948,4656056832.0
1769003901.636406,2002,3678343168.0
1769003965.2659721,2037,5048042496.0
1769004039.4098668,2078,3636396800.0
1769004073.144313,2097,4253505280.0
1769004259.3908339,2188,4163877376.0
1769004299.1135898,2200,3612781312.0
1769004320.9211981,2212,4045384960.0
1769004356.489496,2232,5284465664.0
1769004365.687356,2237,4450504704.0
1769004367.4440577,2238,4345475584.0
1769004402.6950455,2258,4055881984.0
1769004410.575011,2263,4397268992.0
1769004505.0479138,2308,4419283456.0
1769004526.4283926,2320,4409442816.0
1769004590.7804878,2355,3717267456.0
1769004654.082386,2390,4389176320.0
1769004655.7985964,2391,4463648768.0
1769004659.2763793,2393,4512473600.0
1769004759.58891,2437,4473797632.0
1769004792.0339622,2454,4124870144.0
1769004795.5364833,2456,4290751232.0
1769004804.389922,2461,4710677504.0
1769004849.9355743,2486,3472099328.0
1769004851.7463415,2487,4124860928.0
1769004869.6938748,2497,4369481216.0
1769004873.1363626,2499,4310696960.0
1769004902.2328246,2504,4218521088.0
1769004955.3010707,2533,4190496000.0
1769004983.1495736,2548,3814520832.0
1769004994.3021488,2554,3598423808.0
1769005257.2148783,2686,4418936832.0
1769005377.0063398,2741,3901627904.0
1769005401.5053873,2755,5052373504.0
1769005461.9219797,2790,4709710848.0
1769005665.50527,2897,4544857088.0
1769005808.8028674,2968,4354482688.0
1769005899.1465118,3012,4555922432.0
1769005946.8247504,3039,4086343680.0
1769005952.1882398,3042,4220283648.0
1769006073.7581377,3100,4001461504.0
1769006183.2447982,3162,4171911936.0
1769006247.2166336,3197,3573484544.0
1769006325.690447,3231,4810503168.0
1769006349.9804084,3245,4458477568.0
1769006353.2901852,3247,3608058880.0
1769006354.9462996,3248,4760827392.0
1769006475.8289564,3306,4372631552.0
1769006600.1681354,3377,4074865920.0
1769006674.8029764,3409,3940176128.0
1769006744.6310897,3450,3804864000.0
1769006802.5579796,3481,3824708608.0
1769007054.8726745,3601,3851988992.0
1769007087.0177243,3619,4391959040.0
1769007090.7698197,3621,4240658176.0
1769007174.3661766,3671,3941563392.0
1769007286.7151146,3727,4813904384.0
1769007313.1254258,3742,4808321024.0
1769007403.201001,3794,3920600832.0
1769007459.7667263,3815,4515318784.0
1769007468.5448947,3820,4334030848.0
1769007472.0926967,3822,4252004864.0
1769007546.3892908,3865,4880892928.0
1769007674.8866315,3929,3821276160.0
1769007723.0791717,3957,4456517120.0
1769007772.3777463,3985,4485565952.0
1769007882.2333937,4037,4849952768.0
1769007991.8532894,4099,4222117376.0
1769008030.4486375,4110,4647847424.0
1769008156.1393857,4183,4469052928.0
1769008180.733337,4197,3984768000.0
1769008210.90174,4203,4395055616.0
1769008254.862259,4228,4391241728.0
1769008263.3083718,4233,4411298816.0
1769008315.4184227,4264,4163798272.0
1769008407.161479,4305,4809189376.0
1769008428.7269876,4318,4224309504.0
1769008431.3809845,4320,4424807424.0
1769008587.8316386,4401,4221760256.0
1769008747.431767,4493,4197558784.0
1769008795.5060208,4510,4545353728.0
1769008831.3665066,4531,4367178240.0
1769009021.6043534,4629,5016581120.0
1769009084.8374891,4665,4613385728.0
1769009091.6762075,4669,4591012864.0
1769009105.6327813,4677,4260347648.0
1769009256.7221124,4751,4206449920.0
1769009321.8617146,4789,5103177728.0
1769009360.6946383,4801,4958109184.0
1769009363.898001,4803,4702876672.0
1769009429.1934786,4841,4677248000.0
1769009451.5801382,4853,4078443520.0
1769009525.1356199,4895,4465599488.0
1769009656.1995523,4963,4534543872.0
1769009671.6009493,4972,4652303872.0
1769009676.5851424,4975,4534224384.0
1769009822.3774045,5051,4690479616.0
1769009825.6526093,5053,4437343232.0
1769009930.7493277,5107,4745755648.0
1769009980.2964654,5135,4280548096.0
1769010113.0950623,5201,4828896256.0
1769010180.8064337,5240,4409821696.0
1769010356.684741,5330,4829161984.0
1769010384.349403,5346,3964761344.0
1769010408.3702543,5360,4702793216.0
1769010532.457485,5421,4798359040.0
1769010570.1352756,5443,4753748992.0
1769010714.9627354,5516,4734658048.0
1769010718.167891,5518,4907321344.0
1769010773.796306,5550,4622629888.0
1769010839.0257466,5588,4379405824.0
1769010984.9027138,5661,4136211200.0
1769010992.1375062,5665,4249532928.0
1769011018.804408,5680,3722810368.0
1769011106.460289,5721,4750612480.0
1769011111.6098335,5724,3642359040.0
1769011251.5296094,5809,5127518720.0
1769011273.5816002,5826,4273089792.0
1769011277.4555767,5829,4757042688.0
1769011320.1303618,5863,4605507072.0
1769011322.6159725,5865,4507532288.0
1769011331.3356254,5872,4334579200.0
1769011395.9494126,5908,4536972288.0
1769011421.987861,5929,4175113472.0
1769011450.8649478,5953,4660406784.0
1769011464.5434527,5964,4659109888.0
1769011498.032453,5991,4584985600.0
1769011540.6322575,6011,4760981504.0
1769011546.725028,6016,4091918336.0
1769011700.417069,6122,4457907712.0
1769011712.800816,6132,4573437440.0
1769011776.4946153,6182,4354664960.0
1769011819.7518935,6201,4461312512.0
1769011836.1213279,6214,4597194752.0
1769011843.7335262,6220,3713028864.0
1769011860.7816336,6233,4203393024.0
1769011933.1248243,6290,4732984320.0
1769011979.0077448,6313,4755447808.0
